"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Salgueiro (PE)";"917";"4";"1";"35";"-";"2";"48";"490";"21";"68";"13";"5";"5";"27";"38";"5";"34";"34";"23";"64";"-";"-"
"Saloá (PE)";"76";"1";"-";"4";"-";"-";"1";"46";"2";"2";"2";"-";"-";"2";"1";"5";"2";"-";"1";"7";"-";"-"
"Sanharó (PE)";"126";"-";"-";"19";"-";"-";"4";"70";"4";"5";"1";"-";"-";"5";"4";"3";"1";"3";"-";"7";"-";"-"
"Santa Cruz (PE)";"79";"-";"-";"1";"-";"-";"3";"55";"-";"1";"-";"-";"-";"1";"1";"3";"13";"-";"-";"1";"-";"-"
"Santa Cruz da Baixa Verde (PE)";"109";"-";"-";"2";"-";"-";"-";"59";"2";"-";"1";"-";"-";"-";"3";"5";"9";"3";"-";"25";"-";"-"
"Santa Cruz do Capibaribe (PE)";"2432";"4";"1";"760";"-";"3";"31";"1218";"50";"88";"15";"6";"37";"36";"43";"5";"38";"39";"12";"46";"-";"-"
"Santa Filomena (PE)";"83";"-";"-";"2";"-";"-";"1";"23";"-";"-";"-";"-";"-";"-";"1";"2";"14";"-";"-";"40";"-";"-"
"Santa Maria da Boa Vista (PE)";"287";"9";"1";"8";"-";"1";"1";"155";"2";"9";"1";"2";"-";"3";"5";"4";"49";"2";"-";"35";"-";"-"
"Santa Maria do Cambucá (PE)";"85";"1";"7";"20";"-";"-";"-";"29";"3";"-";"-";"-";"-";"1";"1";"3";"14";"1";"-";"5";"-";"-"
"Santa Terezinha (PE)";"99";"-";"-";"1";"-";"-";"8";"41";"-";"1";"1";"-";"-";"2";"3";"3";"4";"-";"1";"34";"-";"-"
"São Benedito do Sul (PE)";"52";"-";"-";"6";"-";"-";"-";"28";"-";"2";"-";"-";"-";"1";"1";"5";"4";"-";"-";"5";"-";"-"
"São Bento do Una (PE)";"275";"12";"-";"36";"-";"-";"8";"155";"10";"7";"1";"1";"2";"8";"10";"5";"7";"1";"3";"9";"-";"-"
"São Caitano (PE)";"281";"3";"2";"49";"-";"1";"4";"138";"11";"17";"2";"-";"2";"4";"5";"4";"16";"2";"2";"19";"-";"-"
"São João (PE)";"85";"1";"-";"4";"-";"-";"3";"45";"4";"7";"-";"-";"1";"3";"6";"5";"1";"1";"-";"4";"-";"-"
"São Joaquim do Monte (PE)";"81";"2";"-";"3";"-";"-";"-";"53";"3";"4";"2";"-";"-";"2";"2";"5";"2";"2";"-";"1";"-";"-"
"São José da Coroa Grande (PE)";"141";"2";"-";"6";"-";"-";"2";"70";"3";"17";"1";"1";"2";"3";"12";"3";"11";"2";"1";"5";"-";"-"
"São José do Belmonte (PE)";"257";"3";"-";"8";"-";"1";"12";"167";"4";"12";"3";"-";"2";"5";"6";"4";"6";"11";"3";"10";"-";"-"
"São José do Egito (PE)";"312";"12";"-";"26";"-";"-";"14";"181";"3";"7";"7";"2";"-";"12";"9";"3";"8";"17";"3";"8";"-";"-"
"São Lourenço da Mata (PE)";"845";"2";"1";"103";"-";"-";"46";"424";"25";"46";"6";"5";"3";"18";"53";"3";"37";"13";"10";"50";"-";"-"
"São Vicente Férrer (PE)";"98";"3";"-";"9";"-";"1";"2";"53";"1";"3";"1";"-";"1";"3";"3";"3";"12";"-";"-";"3";"-";"-"
"Serra Talhada (PE)";"1253";"6";"-";"80";"-";"5";"41";"675";"20";"62";"22";"6";"3";"36";"49";"9";"72";"81";"12";"74";"-";"-"
"Serrita (PE)";"89";"1";"1";"3";"-";"-";"-";"60";"1";"1";"-";"-";"-";"-";"1";"4";"2";"3";"2";"10";"-";"-"
"Sertânia (PE)";"447";"11";"3";"21";"-";"1";"13";"235";"6";"17";"1";"1";"-";"20";"15";"6";"5";"10";"6";"76";"-";"-"
"Sirinhaém (PE)";"246";"1";"1";"13";"-";"1";"5";"139";"10";"18";"1";"-";"2";"4";"10";"2";"24";"3";"1";"11";"-";"-"
"Moreilândia (PE)";"66";"-";"-";"-";"-";"-";"-";"48";"1";"2";"2";"-";"-";"-";"2";"5";"-";"-";"1";"5";"-";"-"
"Solidão (PE)";"27";"-";"-";"-";"-";"-";"2";"15";"-";"1";"-";"-";"-";"-";"1";"2";"1";"2";"-";"3";"-";"-"
"Surubim (PE)";"992";"4";"-";"152";"-";"1";"19";"517";"42";"35";"11";"3";"7";"21";"35";"4";"53";"23";"15";"50";"-";"-"
"Tabira (PE)";"244";"-";"-";"21";"-";"2";"3";"169";"2";"7";"7";"2";"-";"5";"4";"2";"6";"6";"2";"6";"-";"-"
"Tacaimbó (PE)";"89";"1";"1";"15";"-";"1";"6";"42";"-";"1";"1";"-";"-";"2";"2";"4";"12";"-";"-";"1";"-";"-"
"Tacaratu (PE)";"116";"2";"1";"6";"-";"-";"1";"84";"1";"1";"-";"-";"-";"1";"2";"2";"12";"1";"-";"2";"-";"-"
"Tamandaré (PE)";"346";"4";"-";"11";"-";"-";"7";"160";"9";"65";"3";"-";"2";"6";"36";"4";"22";"2";"3";"12";"-";"-"
"Taquaritinga do Norte (PE)";"285";"2";"1";"127";"-";"-";"3";"93";"3";"11";"4";"-";"4";"4";"4";"5";"15";"1";"3";"5";"-";"-"
"Terezinha (PE)";"33";"-";"-";"1";"-";"-";"2";"17";"-";"-";"-";"-";"-";"2";"2";"4";"-";"-";"-";"5";"-";"-"
"Terra Nova (PE)";"49";"-";"-";"1";"-";"-";"-";"28";"-";"2";"-";"-";"-";"1";"1";"3";"6";"-";"2";"5";"-";"-"
"Timbaúba (PE)";"763";"3";"-";"57";"-";"-";"18";"437";"15";"35";"14";"7";"2";"26";"20";"3";"50";"18";"7";"51";"-";"-"
"Toritama (PE)";"1296";"3";"-";"623";"-";"1";"14";"471";"1";"31";"4";"4";"44";"9";"13";"4";"29";"9";"3";"33";"-";"-"
"Tracunhaém (PE)";"71";"3";"-";"5";"-";"-";"4";"34";"2";"4";"-";"-";"-";"-";"1";"3";"6";"-";"-";"9";"-";"-"
"Trindade (PE)";"419";"-";"2";"145";"-";"1";"6";"184";"12";"8";"5";"-";"1";"4";"7";"5";"5";"12";"2";"20";"-";"-"
"Triunfo (PE)";"234";"2";"1";"8";"-";"1";"6";"96";"3";"16";"3";"-";"1";"6";"5";"5";"19";"8";"1";"53";"-";"-"
"Tupanatinga (PE)";"149";"-";"-";"4";"-";"-";"-";"53";"1";"1";"1";"-";"1";"3";"1";"3";"33";"1";"-";"47";"-";"-"
"Tuparetama (PE)";"103";"1";"-";"8";"-";"-";"2";"56";"1";"1";"1";"-";"-";"2";"1";"5";"9";"1";"1";"14";"-";"-"
"Venturosa (PE)";"92";"-";"-";"17";"-";"-";"-";"65";"-";"-";"-";"-";"-";"1";"1";"2";"2";"2";"-";"2";"-";"-"
"Verdejante (PE)";"65";"-";"-";"2";"-";"-";"1";"24";"-";"-";"-";"-";"-";"1";"3";"6";"12";"-";"-";"16";"-";"-"
"Vertente do Lério (PE)";"41";"-";"5";"3";"-";"-";"2";"11";"-";"1";"-";"-";"-";"1";"1";"5";"10";"1";"-";"1";"-";"-"
"Vertentes (PE)";"212";"1";"-";"73";"-";"1";"2";"98";"3";"8";"1";"-";"1";"2";"3";"4";"3";"1";"2";"9";"-";"-"
"Vicência (PE)";"218";"3";"-";"12";"-";"1";"3";"124";"6";"6";"1";"2";"-";"1";"4";"4";"37";"2";"-";"12";"-";"-"
"Vitória de Santo Antão (PE)";"1571";"41";"3";"129";"1";"7";"40";"869";"48";"101";"9";"7";"12";"39";"63";"7";"93";"41";"11";"50";"-";"-"
"Xexéu (PE)";"63";"1";"-";"1";"-";"1";"1";"43";"3";"2";"1";"-";"-";"-";"2";"3";"1";"-";"-";"4";"-";"-"
"Água Branca (AL)";"99";"2";"-";"3";"-";"-";"4";"60";"-";"4";"1";"-";"-";"3";"3";"4";"4";"2";"3";"6";"-";"-"
"Anadia (AL)";"118";"2";"-";"3";"-";"-";"-";"76";"18";"2";"1";"-";"-";"-";"7";"2";"3";"1";"-";"3";"-";"-"
"Arapiraca (AL)";"4037";"17";"3";"263";"-";"12";"151";"2455";"125";"219";"55";"21";"26";"89";"145";"4";"178";"119";"37";"118";"-";"-"
"Atalaia (AL)";"316";"7";"2";"21";"-";"1";"11";"158";"42";"14";"2";"1";"2";"3";"6";"2";"27";"5";"3";"9";"-";"-"
"Barra de Santo Antônio (AL)";"86";"3";"-";"4";"-";"2";"4";"44";"1";"11";"-";"-";"1";"1";"6";"3";"2";"3";"-";"1";"-";"-"
"Barra de São Miguel (AL)";"174";"2";"-";"2";"-";"1";"17";"46";"4";"35";"3";"4";"4";"9";"27";"2";"6";"-";"4";"8";"-";"-"
"Batalha (AL)";"129";"1";"1";"9";"-";"-";"2";"79";"5";"4";"2";"-";"1";"3";"1";"2";"4";"3";"3";"9";"-";"-"
"Belém (AL)";"31";"-";"-";"-";"-";"-";"-";"14";"3";"-";"1";"-";"-";"1";"3";"1";"1";"-";"-";"7";"-";"-"
"Belo Monte (AL)";"13";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"1";"2";"2";"1";"-";"-";"2";"-";"-"
"Boca da Mata (AL)";"237";"11";"-";"12";"-";"-";"10";"121";"40";"8";"3";"1";"1";"6";"7";"2";"4";"1";"5";"5";"-";"-"
"Branquinha (AL)";"56";"-";"1";"2";"-";"-";"1";"27";"10";"-";"-";"-";"-";"2";"2";"4";"3";"-";"-";"4";"-";"-"
"Cacimbinhas (AL)";"64";"4";"-";"1";"-";"-";"1";"42";"1";"2";"-";"1";"-";"2";"1";"2";"2";"-";"-";"5";"-";"-"
"Cajueiro (AL)";"125";"2";"-";"5";"-";"1";"2";"76";"3";"3";"-";"1";"-";"-";"7";"3";"17";"-";"-";"5";"-";"-"
"Campestre (AL)";"36";"-";"-";"2";"-";"-";"1";"22";"3";"1";"-";"-";"-";"1";"2";"2";"1";"-";"-";"1";"-";"-"
"Campo Alegre (AL)";"226";"2";"-";"10";"-";"1";"3";"122";"56";"7";"2";"-";"-";"3";"4";"3";"4";"2";"1";"6";"-";"-"
"Campo Grande (AL)";"83";"-";"-";"-";"-";"-";"1";"54";"7";"1";"-";"-";"-";"1";"1";"2";"13";"-";"-";"3";"-";"-"
"Canapi (AL)";"66";"-";"-";"4";"-";"-";"-";"49";"2";"1";"-";"-";"-";"2";"2";"3";"1";"-";"-";"2";"-";"-"
"Capela (AL)";"159";"1";"-";"16";"-";"1";"1";"99";"5";"4";"-";"-";"-";"4";"4";"2";"15";"2";"1";"4";"-";"-"
"Carneiros (AL)";"44";"-";"-";"-";"-";"-";"1";"37";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Chã Preta (AL)";"38";"1";"-";"3";"-";"-";"-";"16";"1";"1";"-";"-";"-";"1";"2";"3";"8";"-";"-";"2";"-";"-"
"Coité do Nóia (AL)";"70";"1";"-";"3";"-";"-";"3";"46";"7";"2";"-";"-";"-";"2";"2";"2";"1";"-";"1";"-";"-";"-"
"Colônia Leopoldina (AL)";"134";"3";"-";"2";"-";"-";"2";"82";"11";"2";"1";"-";"-";"3";"-";"3";"13";"1";"4";"7";"-";"-"
"Coqueiro Seco (AL)";"22";"-";"-";"1";"-";"-";"1";"10";"2";"-";"-";"-";"-";"1";"2";"2";"1";"-";"-";"2";"-";"-"
"Coruripe (AL)";"619";"15";"-";"35";"-";"1";"10";"338";"83";"42";"5";"-";"2";"9";"21";"5";"13";"13";"4";"23";"-";"-"
"Craíbas (AL)";"118";"2";"1";"1";"-";"1";"7";"80";"1";"2";"1";"1";"-";"3";"3";"6";"5";"-";"1";"3";"-";"-"
"Delmiro Gouveia (AL)";"598";"3";"-";"26";"-";"-";"14";"393";"13";"32";"15";"1";"1";"22";"17";"2";"15";"13";"7";"24";"-";"-"
"Dois Riachos (AL)";"84";"-";"-";"1";"-";"-";"1";"44";"-";"1";"-";"-";"-";"2";"2";"1";"28";"-";"1";"3";"-";"-"
"Estrela de Alagoas (AL)";"82";"1";"-";"2";"-";"-";"-";"52";"1";"1";"1";"-";"-";"-";"2";"2";"1";"-";"1";"18";"-";"-"
"Feira Grande (AL)";"117";"2";"-";"5";"-";"-";"3";"65";"1";"2";"-";"-";"-";"-";"2";"1";"31";"1";"-";"4";"-";"-"
"Feliz Deserto (AL)";"42";"-";"-";"1";"-";"-";"1";"27";"5";"1";"-";"-";"-";"1";"1";"2";"1";"-";"-";"2";"-";"-"
"Flexeiras (AL)";"47";"2";"-";"2";"-";"-";"3";"24";"10";"-";"-";"-";"-";"1";"2";"1";"-";"-";"-";"2";"-";"-"
"Girau do Ponciano (AL)";"222";"-";"1";"10";"-";"-";"4";"119";"6";"5";"1";"-";"-";"3";"1";"1";"60";"3";"1";"7";"-";"-"
"Ibateguara (AL)";"102";"2";"-";"6";"-";"-";"2";"72";"3";"4";"1";"-";"-";"1";"3";"3";"3";"1";"-";"1";"-";"-"
"Igaci (AL)";"186";"-";"1";"5";"-";"-";"3";"83";"10";"2";"-";"1";"-";"3";"2";"2";"37";"1";"1";"35";"-";"-"
"Igreja Nova (AL)";"107";"5";"1";"2";"-";"-";"4";"56";"20";"1";"-";"-";"-";"1";"6";"4";"4";"-";"-";"3";"-";"-"
"Inhapi (AL)";"91";"-";"-";"-";"-";"-";"-";"76";"-";"1";"2";"-";"-";"-";"1";"4";"4";"1";"-";"2";"-";"-"
"Jacaré dos Homens (AL)";"31";"2";"-";"-";"-";"-";"1";"23";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"1";"2";"-";"-"
"Jacuípe (AL)";"35";"-";"-";"2";"-";"-";"2";"18";"3";"2";"1";"-";"-";"1";"1";"3";"1";"-";"-";"1";"-";"-"
"Japaratinga (AL)";"73";"-";"1";"3";"-";"-";"1";"25";"4";"27";"-";"-";"1";"1";"1";"2";"3";"2";"-";"2";"-";"-"
"Jaramataia (AL)";"35";"-";"-";"1";"-";"-";"-";"14";"4";"1";"-";"-";"-";"1";"1";"2";"7";"-";"-";"4";"-";"-"
"Jequiá da Praia (AL)";"72";"-";"-";"3";"-";"1";"1";"46";"8";"5";"-";"-";"-";"1";"2";"3";"-";"-";"-";"2";"-";"-"
"Joaquim Gomes (AL)";"151";"2";"-";"4";"-";"-";"3";"82";"24";"1";"-";"-";"-";"2";"3";"2";"11";"1";"-";"16";"-";"-"
"Jundiá (AL)";"22";"-";"-";"-";"-";"-";"1";"10";"3";"1";"-";"-";"-";"1";"2";"2";"1";"-";"-";"1";"-";"-"
"Junqueiro (AL)";"242";"4";"1";"7";"-";"-";"8";"112";"54";"11";"3";"-";"-";"5";"11";"2";"3";"1";"6";"14";"-";"-"
"Lagoa da Canoa (AL)";"101";"-";"-";"3";"-";"1";"5";"55";"2";"2";"1";"-";"-";"-";"1";"1";"22";"-";"2";"6";"-";"-"
"Limoeiro de Anadia (AL)";"137";"5";"-";"11";"-";"-";"7";"79";"20";"3";"1";"-";"1";"2";"4";"1";"1";"1";"1";"-";"-";"-"
"Maceió (AL)";"16847";"31";"8";"921";"3";"45";"885";"6876";"362";"1392";"317";"217";"243";"1034";"1668";"71";"669";"726";"209";"1170";"-";"-"
"Major Isidoro (AL)";"121";"1";"-";"8";"-";"-";"1";"73";"4";"4";"1";"-";"-";"4";"5";"3";"6";"4";"-";"7";"-";"-"
"Maragogi (AL)";"334";"5";"1";"22";"-";"-";"6";"133";"5";"87";"7";"-";"3";"9";"28";"3";"6";"1";"4";"14";"-";"-"
"Maravilha (AL)";"53";"1";"-";"2";"-";"-";"-";"27";"5";"-";"-";"-";"-";"2";"1";"2";"2";"1";"2";"8";"-";"-"
"Marechal Deodoro (AL)";"581";"4";"1";"48";"-";"4";"32";"211";"26";"127";"8";"6";"9";"14";"32";"3";"10";"7";"11";"28";"-";"-"
"Maribondo (AL)";"129";"2";"-";"6";"-";"-";"2";"69";"9";"7";"1";"2";"2";"2";"8";"2";"5";"5";"3";"4";"-";"-"
"Mar Vermelho (AL)";"26";"2";"-";"1";"-";"-";"1";"12";"-";"-";"-";"-";"-";"-";"1";"2";"6";"-";"-";"1";"-";"-"
"Mata Grande (AL)";"80";"-";"-";"3";"-";"-";"-";"62";"1";"2";"-";"-";"-";"1";"1";"2";"4";"-";"-";"4";"-";"-"
"Matriz de Camaragibe (AL)";"187";"1";"3";"9";"-";"1";"5";"112";"29";"4";"1";"1";"-";"3";"7";"2";"5";"2";"-";"2";"-";"-"
"Messias (AL)";"136";"-";"-";"8";"-";"1";"10";"57";"32";"2";"-";"-";"3";"6";"7";"3";"3";"-";"1";"3";"-";"-"
"Minador do Negrão (AL)";"42";"-";"-";"2";"-";"-";"-";"33";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"2";"-";"-"
"Monteirópolis (AL)";"41";"-";"-";"-";"-";"-";"1";"31";"-";"3";"-";"-";"-";"-";"1";"2";"1";"-";"-";"2";"-";"-"
"Murici (AL)";"248";"4";"2";"26";"-";"1";"8";"135";"21";"9";"1";"1";"1";"2";"11";"4";"8";"3";"3";"8";"-";"-"
"Novo Lino (AL)";"93";"-";"-";"2";"-";"-";"1";"40";"26";"4";"1";"-";"-";"2";"6";"2";"1";"1";"4";"3";"-";"-"
"Olho d'Água das Flores (AL)";"290";"1";"-";"9";"-";"-";"2";"203";"9";"7";"2";"-";"2";"5";"4";"4";"17";"5";"5";"15";"-";"-"
"Olho d'Água do Casado (AL)";"31";"-";"-";"-";"-";"-";"1";"20";"2";"-";"1";"-";"-";"1";"3";"1";"1";"-";"-";"1";"-";"-"
"Olho d'Água Grande (AL)";"25";"-";"-";"-";"-";"-";"-";"8";"1";"-";"-";"-";"-";"-";"1";"2";"13";"-";"-";"-";"-";"-"
"Olivença (AL)";"44";"-";"-";"2";"-";"-";"-";"31";"1";"-";"-";"-";"-";"-";"2";"2";"2";"1";"-";"3";"-";"-"
"Ouro Branco (AL)";"78";"-";"2";"2";"-";"-";"-";"43";"10";"-";"-";"-";"-";"-";"5";"5";"2";"1";"-";"8";"-";"-"
"Palestina (AL)";"19";"-";"-";"1";"-";"-";"-";"10";"2";"-";"-";"-";"-";"-";"1";"4";"1";"-";"-";"-";"-";"-"
"Palmeira dos Índios (AL)";"968";"2";"2";"56";"-";"-";"22";"577";"23";"47";"14";"9";"6";"28";"30";"3";"37";"41";"7";"64";"-";"-"
"Pão de Açúcar (AL)";"142";"2";"-";"4";"-";"1";"5";"87";"7";"6";"2";"1";"-";"1";"5";"4";"5";"1";"-";"11";"-";"-"
"Pariconha (AL)";"50";"-";"-";"1";"-";"-";"-";"38";"-";"1";"-";"-";"-";"1";"2";"2";"2";"-";"-";"3";"-";"-"
"Paripueira (AL)";"143";"-";"1";"3";"-";"1";"20";"51";"4";"12";"2";"2";"5";"11";"17";"2";"2";"2";"4";"4";"-";"-"
"Passo de Camaragibe (AL)";"85";"2";"-";"6";"-";"-";"4";"43";"8";"7";"-";"-";"3";"2";"3";"5";"1";"-";"-";"1";"-";"-"
"Paulo Jacinto (AL)";"60";"1";"-";"3";"-";"-";"-";"30";"1";"-";"-";"1";"-";"2";"1";"3";"11";"2";"1";"4";"-";"-"
"Penedo (AL)";"694";"7";"3";"25";"-";"-";"20";"397";"40";"44";"6";"6";"3";"14";"28";"3";"27";"24";"8";"39";"-";"-"
"Piaçabuçu (AL)";"113";"-";"-";"5";"-";"-";"2";"79";"1";"7";"2";"-";"-";"-";"2";"2";"4";"3";"-";"6";"-";"-"
"Pilar (AL)";"360";"5";"2";"29";"-";"3";"21";"187";"30";"27";"1";"1";"-";"4";"22";"2";"13";"6";"-";"7";"-";"-"
"Pindoba (AL)";"6";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Piranhas (AL)";"209";"1";"-";"8";"1";"-";"6";"124";"4";"26";"3";"-";"2";"5";"5";"2";"7";"3";"1";"11";"-";"-"
"Poço das Trincheiras (AL)";"33";"-";"-";"-";"-";"-";"-";"24";"-";"3";"-";"-";"-";"-";"1";"1";"2";"-";"-";"2";"-";"-"
"Porto Calvo (AL)";"303";"1";"-";"16";"-";"-";"17";"198";"20";"13";"1";"-";"-";"6";"11";"4";"5";"3";"1";"7";"-";"-"
"Porto de Pedras (AL)";"60";"1";"-";"4";"-";"-";"-";"27";"1";"15";"-";"-";"-";"3";"3";"1";"1";"-";"-";"4";"-";"-"
"Porto Real do Colégio (AL)";"82";"1";"-";"4";"-";"-";"3";"46";"1";"6";"-";"-";"-";"2";"1";"2";"5";"1";"2";"8";"-";"-"
"Quebrangulo (AL)";"70";"2";"1";"2";"-";"-";"2";"34";"1";"2";"1";"-";"-";"1";"2";"1";"14";"-";"1";"6";"-";"-"
"Rio Largo (AL)";"754";"7";"4";"65";"-";"5";"55";"349";"82";"38";"6";"3";"6";"15";"30";"2";"54";"8";"3";"22";"-";"-"
"Roteiro (AL)";"23";"1";"-";"-";"-";"-";"1";"11";"1";"5";"-";"-";"-";"1";"-";"2";"-";"-";"1";"-";"-";"-"
"Santa Luzia do Norte (AL)";"57";"-";"-";"10";"-";"-";"5";"23";"4";"1";"-";"-";"-";"1";"4";"3";"2";"-";"2";"2";"-";"-"
"Santana do Ipanema (AL)";"480";"-";"-";"22";"-";"-";"11";"267";"21";"22";"6";"3";"1";"10";"11";"2";"54";"21";"6";"23";"-";"-"
"Santana do Mundaú (AL)";"96";"1";"1";"-";"-";"1";"1";"46";"1";"4";"-";"-";"-";"-";"1";"2";"10";"1";"1";"26";"-";"-"
"São Brás (AL)";"23";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"1";"1";"8";"-";"-";"2";"-";"-"
"São José da Laje (AL)";"181";"-";"1";"12";"-";"1";"3";"105";"10";"6";"-";"-";"-";"5";"4";"3";"21";"2";"1";"7";"-";"-"
"São José da Tapera (AL)";"174";"-";"-";"6";"-";"-";"3";"126";"2";"9";"2";"-";"-";"2";"5";"2";"4";"1";"2";"10";"-";"-"
"São Luís do Quitunde (AL)";"232";"1";"1";"11";"1";"-";"7";"132";"26";"13";"1";"-";"1";"5";"3";"3";"17";"3";"1";"6";"-";"-"
"São Miguel dos Campos (AL)";"602";"9";"1";"42";"2";"1";"31";"294";"68";"34";"5";"6";"3";"20";"24";"3";"20";"12";"4";"23";"-";"-"
"São Miguel dos Milagres (AL)";"74";"-";"-";"-";"-";"1";"2";"34";"1";"23";"-";"-";"1";"-";"3";"2";"1";"-";"-";"6";"-";"-"
"São Sebastião (AL)";"283";"7";"-";"7";"-";"-";"4";"175";"40";"11";"2";"-";"-";"4";"5";"2";"7";"3";"2";"14";"-";"-"
"Satuba (AL)";"134";"-";"-";"9";"-";"-";"12";"56";"18";"9";"-";"-";"-";"2";"5";"1";"14";"2";"3";"3";"-";"-"
"Senador Rui Palmeira (AL)";"37";"-";"-";"-";"-";"-";"-";"26";"4";"-";"-";"-";"-";"-";"1";"3";"1";"-";"-";"2";"-";"-"
"Tanque d'Arca (AL)";"41";"-";"-";"1";"-";"-";"2";"16";"4";"1";"1";"-";"-";"1";"1";"2";"9";"-";"-";"3";"-";"-"
"Taquarana (AL)";"180";"1";"-";"6";"-";"-";"2";"92";"25";"7";"2";"-";"-";"2";"9";"2";"26";"1";"3";"2";"-";"-"
"Teotônio Vilela (AL)";"359";"3";"1";"22";"1";"1";"17";"203";"52";"12";"2";"-";"-";"5";"15";"3";"9";"2";"3";"8";"-";"-"
"Traipu (AL)";"106";"1";"-";"1";"-";"-";"4";"48";"1";"1";"2";"-";"-";"1";"3";"1";"41";"1";"-";"1";"-";"-"
"União dos Palmares (AL)";"774";"9";"1";"18";"-";"1";"16";"466";"68";"36";"9";"-";"1";"12";"41";"2";"38";"19";"2";"35";"-";"-"
"Viçosa (AL)";"205";"16";"1";"9";"-";"1";"5";"118";"4";"15";"1";"4";"1";"6";"2";"2";"10";"3";"1";"6";"-";"-"
"Amparo de São Francisco (SE)";"25";"-";"-";"-";"-";"-";"1";"11";"-";"4";"-";"-";"-";"-";"1";"3";"-";"-";"-";"5";"-";"-"
"Aquidabã (SE)";"167";"2";"-";"6";"-";"-";"2";"102";"3";"4";"1";"1";"-";"5";"3";"4";"7";"5";"4";"18";"-";"-"
"Aracaju (SE)";"13924";"21";"15";"725";"7";"19";"710";"5195";"335";"1001";"313";"163";"259";"932";"1571";"37";"549";"850";"260";"962";"-";"-"
"Arauá (SE)";"52";"1";"-";"6";"-";"-";"2";"25";"3";"1";"-";"-";"-";"2";"1";"4";"1";"1";"-";"5";"-";"-"
"Areia Branca (SE)";"95";"2";"3";"4";"-";"-";"3";"41";"11";"8";"2";"-";"-";"-";"2";"4";"1";"1";"1";"12";"-";"-"
"Barra dos Coqueiros (SE)";"257";"3";"-";"18";"-";"1";"21";"82";"18";"24";"5";"1";"6";"7";"23";"6";"10";"5";"3";"24";"-";"-"
"Boquim (SE)";"193";"2";"-";"22";"-";"-";"5";"102";"9";"6";"3";"2";"-";"4";"8";"5";"3";"3";"4";"15";"-";"-"
"Brejo Grande (SE)";"55";"-";"-";"-";"-";"1";"1";"24";"-";"3";"-";"-";"-";"-";"1";"4";"1";"-";"-";"20";"-";"-"
"Campo do Brito (SE)";"226";"2";"1";"26";"-";"-";"9";"116";"21";"6";"1";"1";"2";"4";"5";"4";"12";"3";"3";"10";"-";"-"
"Canhoba (SE)";"15";"-";"-";"1";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"1";"4";"-";"-";"-";"6";"-";"-"
"Canindé de São Francisco (SE)";"236";"-";"-";"9";"-";"-";"13";"147";"3";"19";"2";"2";"-";"6";"6";"4";"9";"4";"4";"8";"-";"-"
"Capela (SE)";"242";"2";"3";"15";"-";"1";"5";"132";"9";"5";"1";"-";"-";"10";"5";"4";"25";"4";"5";"16";"-";"-"
"Carira (SE)";"194";"1";"-";"5";"-";"-";"9";"117";"15";"5";"-";"-";"2";"3";"7";"4";"5";"1";"2";"18";"-";"-"
"Carmópolis (SE)";"146";"3";"-";"15";"-";"1";"14";"57";"4";"11";"2";"1";"-";"5";"10";"4";"6";"3";"3";"7";"-";"-"
"Cedro de São João (SE)";"51";"-";"-";"3";"-";"-";"1";"29";"-";"2";"1";"-";"-";"2";"2";"4";"2";"1";"-";"4";"-";"-"
"Cristinápolis (SE)";"115";"3";"1";"1";"-";"-";"2";"52";"5";"2";"-";"-";"-";"2";"6";"4";"5";"4";"4";"24";"-";"-"
"Cumbe (SE)";"32";"-";"-";"-";"-";"-";"-";"13";"10";"-";"-";"-";"-";"-";"4";"3";"1";"-";"-";"1";"-";"-"
"Divina Pastora (SE)";"19";"-";"2";"-";"-";"-";"-";"5";"3";"-";"-";"-";"-";"-";"-";"4";"1";"-";"1";"3";"-";"-"
